"TrackName","type_of_device","configuration","microphone","recorder","sample_rate","Recordist_first_name","Recordist_last_name","recording_date","recording_time","recording_length","Audio_file","SubjectName","subject_importance","quality_rating","Species_short_name","Subject_species","sex","age_class","identified_by","certainty_of_species","latitude_degrees","latitude_minutes","latitude_seconds","latitude_orientation","longitude_degrees","longitude_minutes","longitude_seconds","longitude_orientation","elevation","Distance_from_marker","position","Marker","Area","Region","country","state_or_province","vegetation_type","Analysis","Analysis_date","Analysis_method","number_of_phrases","Textgrid_file","Keycode_file"
"tCOMM09-1","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2009-03-21","08:25:00","00:02:30","Click to play","CATH-CP1","Primary subject","4","CATH","California Thrasher","Male(s)","Reproductive adult","sight and sound","5","38","15","17.95","N","120","53","5.43","W","168","","","Along road","Lake Comanche","Amador","USA","California","Open Chapparal","CATH processed","2013-02-23","Praat annotation","383","Files_TextGrids/2009/March/CATH1.TextGrid","Files_Keys/CATH_2009/TRIPLELETTER_N_CA_phrases_REDO.pdf"
"tCOMM09-2","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2009-03-21","08:27:00","00:00:51","Click to play","CATH-CP1","Primary subject","4","CATH","California Thrasher","Male(s)","Reproductive adult","sight and sound","5","38","15","17.95","N","120","53","5.43","W","168","","","Along road","Lake Comanche","Amador","USA","California","Open Chapparal","CATH processed","2013-02-23","Praat annotation","152","Files_TextGrids/2009/March/CATH2.TextGrid","Files_Keys/CATH_2009/TRIPLELETTER_N_CA_phrases_REDO.pdf"
"tCOMM09-3","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2009-03-21","08:28:00","00:00:57","Click to play","CATH-CP1","Primary subject","4","CATH","California Thrasher","Male(s)","Reproductive adult","sight and sound","5","38","15","17.95","N","120","53","5.43","W","168","","","Along road","Lake Comanche","Amador","USA","California","Open Chapparal","CATH processed","2013-02-23","Praat annotation","140","Files_TextGrids/2009/March/CATH3.TextGrid","Files_Keys/CATH_2009/TRIPLELETTER_N_CA_phrases_REDO.pdf"
"tCOMM09-4","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2009-03-21","08:29:00","00:03:20","Click to play","CATH-CP1","Primary subject","4","CATH","California Thrasher","Male(s)","Reproductive adult","sight and sound","5","38","15","17.95","N","120","53","5.43","W","168","","","Along road","Lake Comanche","Amador","USA","California","Open Chapparal","CATH processed","2013-02-23","Praat annotation","572","Files_TextGrids/2009/March/CATH4.TextGrid","Files_Keys/CATH_2009/TRIPLELETTER_N_CA_phrases_REDO.pdf"
"tCOMM09-5","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2009-03-21","08:32:00","00:03:05","Click to play","CATH-CP1","Primary subject","4","CATH","California Thrasher","Male(s)","Reproductive adult","sight and sound","5","38","15","17.95","N","120","53","5.43","W","168","","","Along road","Lake Comanche","Amador","USA","California","Open Chapparal","CATH processed","2013-02-23","Praat annotation","360","Files_TextGrids/2009/March/CATH5.TextGrid","Files_Keys/CATH_2009/TRIPLELETTER_N_CA_phrases_REDO.pdf"
"tCOMM09-6","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2009-03-21","08:35:00","00:08:22","Click to play","CATH-CP1","Primary subject","4","CATH","California Thrasher","Male(s)","Reproductive adult","sight and sound","5","38","15","17.95","N","120","53","5.43","W","168","","","Along road","Lake Comanche","Amador","USA","California","Open Chapparal","CATH processed","2013-02-23","Praat annotation","1123","Files_TextGrids/2009/March/CATH6.TextGrid","Files_Keys/CATH_2009/TRIPLELETTER_N_CA_phrases_REDO.pdf"
"tCOMM09-7","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2009-03-21","08:44:00","00:01:30","Click to play","CATH-CP1","Primary subject","4","CATH","California Thrasher","Male(s)","Reproductive adult","sight and sound","5","38","15","17.95","N","120","53","5.43","W","168","","","Along road","Lake Comanche","Amador","USA","California","Open Chapparal","CATH processed","2013-02-23","Praat annotation","151","Files_TextGrids/2009/March/CATH7.TextGrid","Files_Keys/CATH_2009/TRIPLELETTER_N_CA_phrases_REDO.pdf"
"tFTANN0412-1","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2012-04-30","18:18:00","00:04:47","Click to play","CAVIFTANN-LSpr12","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","15.77","N","120","37","46.5","W","728","","","Meadow below spring","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","2013-02-23","Praat annotation","59","Files_TextGrids/2012/Apr/AmadMyJn12-1.TextGrid","Files_Keys/CAVI_2012/CaViPhrases2012.pdf"
"tFTANN0413-1113","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-04-26","07:14:00","00:16:27","Click to play","AGBk","Primary subject","","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","","38","29","17.72","N","120","37","42.65","W","728","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","153","Files_TextGrids/2013/Apr/1113.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0413-1115","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-04-26","07:35:00","00:19:14","Click to play","AGBk","Primary subject","","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","","38","29","17.72","N","120","37","42.65","W","728","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","151","Files_TextGrids/2013/Apr/1115.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0413-1135","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-04-26","15:58:00","00:11:35","Click to play","AGBk","Primary subject","","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","","38","29","17.72","N","120","37","42.65","W","728","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","94","Files_TextGrids/2013/Apr/1135.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0413-1141","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-04-27","07:25:00","00:11:58","Click to play","AGBk","Primary subject","","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","","38","29","17.72","N","120","37","42.65","W","728","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","92","Files_TextGrids/2013/Apr/1141.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0413-1147","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-04-27","08:48:00","00:16:43","Click to play","Meadow","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","23.02","N","120","37","39.88","W","753","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","","Files_TextGrids/2013/Apr/1147.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0512-3","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2012-05-02","07:05:00","00:01:29","Click to play","UpperSpring CAVI12","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","17.45","N","120","39","46.94","W","736","","","Spring East of Wee House","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","2013-02-23","Praat annotation","8","Files_TextGrids/2012/May/AmadMyJn12-3.TextGrid","Files_Keys/CAVI_2012/CaViPhrases2012.pdf"
"tFTANN0512-4","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2012-05-06","10:30:00","00:04:23","Click to play","UpperSpring CAVI12","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","17.45","N","120","39","46.94","W","736","","","Spring East of Wee House","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","2013-02-23","Praat annotation","56","Files_TextGrids/2012/May/AmadMyJn12-4.TextGrid","Files_Keys/CAVI_2012/CaViPhrases2012.pdf"
"tFTANN0512-7","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2012-05-09","16:20:00","00:04:16","Click to play","UpperSpring CAVI12","Primary subject","3","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","17.45","N","120","39","46.94","W","736","","","Spring East of Wee House","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","2013-02-23","Praat annotation","72","Files_TextGrids/2012/May/AmadMyJn12-7.TextGrid","Files_Keys/CAVI_2012/CaViPhrases2012.pdf"
"tFTANN0512-8","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2012-05-09","16:24:00","00:02:17","Click to play","UpperSpring CAVI12","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","17.45","N","120","39","46.94","W","736","","","Spring East of Wee House","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","2013-02-23","Praat annotation","39","Files_TextGrids/2012/May/AmadMyJn12-8.TextGrid","Files_Keys/CAVI_2012/CaViPhrases2012.pdf"
